question,answer,bait
_______ get him out of here orders morpheus,"('trinity', '1.69314718056', 118)","[('morpheus', '1.69314718056'), ('orders', '1.69314718056')]"
trinity get him out of here orders ________,"('morpheus', '1.69314718056', 161)","[('trinity', '1.69314718056'), ('orders', '1.69314718056')]"
trinity get him out of here ______ morpheus,"('orders', '1.69314718056', 5)","[('trinity', '1.69314718056'), ('morpheus', '1.69314718056')]"
_______ get him out of here orders morpheus,"('trinity', '1.69314718056', 118)","[('morpheus', '1.69314718056'), ('orders', '1.69314718056')]"
trinity get him out of here orders ________,"('morpheus', '1.69314718056', 161)","[('trinity', '1.69314718056'), ('orders', '1.69314718056')]"
trinity get him out of here ______ morpheus,"('orders', '1.69314718056', 5)","[('trinity', '1.69314718056'), ('morpheus', '1.69314718056')]"
just then ________ gets phone call,"('morpheus', '1.69314718056', 161)","[('just', '1.69314718056'), ('gets', '1.69314718056'), ('phone', '1.69314718056')]"
____ then morpheus gets phone call,"('just', '1.69314718056', 35)","[('morpheus', '1.69314718056'), ('gets', '1.69314718056'), ('phone', '1.69314718056')]"
just then morpheus ____ phone call,"('gets', '1.69314718056', 13)","[('morpheus', '1.69314718056'), ('just', '1.69314718056'), ('phone', '1.69314718056')]"
just then morpheus gets _____ call,"('phone', '1.69314718056', 21)","[('morpheus', '1.69314718056'), ('just', '1.69314718056'), ('gets', '1.69314718056')]"
just then ________ gets phone call,"('morpheus', '1.69314718056', 161)","[('just', '1.69314718056'), ('gets', '1.69314718056'), ('phone', '1.69314718056')]"
____ then morpheus gets phone call,"('just', '1.69314718056', 35)","[('morpheus', '1.69314718056'), ('gets', '1.69314718056'), ('phone', '1.69314718056')]"
just then morpheus ____ phone call,"('gets', '1.69314718056', 13)","[('morpheus', '1.69314718056'), ('just', '1.69314718056'), ('phone', '1.69314718056')]"
just then morpheus gets _____ call,"('phone', '1.69314718056', 21)","[('morpheus', '1.69314718056'), ('just', '1.69314718056'), ('gets', '1.69314718056')]"
