QA,answers,length,sentiment,sim_wrt_topic,topic_rank
lock and morpheus,"[('morpheus', 1.4054651081081644), ('lock', 2.09861228866811)]",3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9259010553359985,4
lock and morpheus,"[('morpheus', 1.4054651081081644), ('lock', 2.09861228866811)]",3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9623405933380127,0
hell yes replies neo,"[('neo', 1.4054651081081644), ('replies', 1.4054651081081644), ('yes', 1.6931471805599454), ('hell', 2.09861228866811)]",4,"{'neg': 0.495, 'neu': 0.215, 'pos': 0.29, 'compound': -0.4404}",0.9610260725021362,4
cypher screams back no,"[('screams', 2.09861228866811), ('cypher', 2.09861228866811)]",4,"{'neg': 0.688, 'neu': 0.312, 'pos': 0.0, 'compound': -0.5267}",0.948353111743927,4
morpheus holds out two pills,"[('morpheus', 1.4054651081081644), ('holds', 1.6931471805599454), ('pills', 2.09861228866811)]",5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9733107089996338,4
link wonders in the real world,"[('real', 1.4054651081081644), ('world', 1.4054651081081644), ('link', 1.6931471805599454), ('wonders', 2.09861228866811)]",6,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9756372570991516,3
link wonders in the real world,"[('real', 1.4054651081081644), ('world', 1.4054651081081644), ('link', 1.6931471805599454), ('wonders', 2.09861228866811)]",6,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9915827512741089,2
agent smith and the presiding police lieutenant argue,"[('smith', 1.4054651081081644), ('agent', 1.4054651081081644), ('police', 1.6931471805599454), ('argue', 2.09861228866811), ('lieutenant', 2.09861228866811)]",8,"{'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.34}",0.9607293009757996,3
born in the real world genuine child of zion,"[('real', 1.4054651081081644), ('zion', 1.4054651081081644), ('world', 1.4054651081081644), ('child', 1.6931471805599454), ('born', 2.09861228866811)]",9,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.981521725654602,2
born in the real world genuine child of zion,"[('real', 1.4054651081081644), ('zion', 1.4054651081081644), ('world', 1.4054651081081644), ('child', 1.6931471805599454), ('born', 2.09861228866811)]",9,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9444326758384705,3
